User_ID,UTC_Time,Account,Operation,Coin,Change,Remark
141577691,6/20/2021 23:17,Spot,Fee,BNB,-0.00008998,
141577691,6/20/2021 23:17,Spot,Transaction Related,LPT,-1.61,
141577691,6/21/2021 0:16,Spot,Transaction Related,SNX,-1.392,
141577691,6/21/2021 0:16,Spot,Fee,BNB,-0.00002597,
141577691,6/21/2021 0:16,Spot,Buy,USDT,11.712288,
141577691,6/21/2021 12:02,Spot,Transaction Related,USDT,-10.989705,
141577691,6/21/2021 12:02,Spot,Buy,STRAX,8.95,
141577691,6/21/2021 12:02,Spot,Fee,BNB,-0.00002721,
141577691,6/21/2021 12:19,Spot,Transaction Related,STRAX,-8.95,
141577691,6/21/2021 12:19,Spot,Fee,BNB,-0.00002666,
141577691,6/21/2021 12:19,Spot,Buy,USDT,10.68093,
141577691,6/21/2021 13:31,Spot,Buy,NULS,20.99,
141577691,6/21/2021 13:31,Spot,Transaction Related,USDT,-10.996661,
141577691,6/21/2021 13:31,Spot,Fee,BNB,-0.00002727,
141577691,6/21/2021 13:33,Spot,Transaction Related,NULS,-20.99,
141577691,6/21/2021 13:33,Spot,Buy,USDT,11.235947,
141577691,6/21/2021 13:33,Spot,Fee,BNB,-0.00002781,
141577691,6/21/2021 13:45,Spot,Fee,BNB,-0.00002706,
141577691,6/21/2021 13:45,Spot,Buy,NULS,20.41,
141577691,6/21/2021 13:45,Spot,Transaction Related,USDT,-10.998949,
141577691,6/21/2021 13:47,Spot,Transaction Related,NULS,-6.71,
141577691,6/21/2021 13:47,Spot,Fee,BNB,-0.00000893,
141577691,6/21/2021 13:47,Spot,Buy,USDT,3.648227,
141577691,6/21/2021 13:47,Spot,Fee,BNB,-0.00001824,
141577691,6/21/2021 13:47,Spot,Transaction Related,NULS,-13.7,
141577691,6/21/2021 13:47,Spot,Buy,USDT,7.44869,
141577691,6/21/2021 15:33,Spot,Transaction Related,USDT,-10.994844,
141577691,6/21/2021 15:33,Spot,Fee,BNB,-0.0000272,
141577691,6/21/2021 15:33,Spot,Buy,RUNE,1.596,
141577691,6/21/2021 15:34,Spot,Transaction Related,USDT,-10.99973,
